"Token","Count","Number of Dialogue Acts","Total Acts"
"mistreat",1,1,174291
"acutely",1,1,174291
"abrupt",1,1,174291
"clinton",1,1,174291
"einsteins",1,1,174291
"spontaneous",1,1,174291
"inflatable",1,1,174291
"photographers",1,1,174291
"imperfect",1,1,174291
"inwood",1,1,174291
"blasts",1,1,174291
"oggi's",1,1,174291
"counters",1,1,174291
"ibuprofen",1,1,174291
"carriers",1,1,174291
"terrifically",1,1,174291
"compassionate",1,1,174291
"tallow",1,1,174291
"oil's",1,1,174291
"dolphins",1,1,174291
"spittering",1,1,174291
"walkie",1,1,174291
"upholstery",1,1,174291
"stoning",1,1,174291
"cer",1,1,174291
"stiffening",1,1,174291
"nibble",1,1,174291
"collisions",1,1,174291
"hackman's",1,1,174291
"adrian",1,1,174291
"aldus",1,1,174291
"straining",1,1,174291
"toronto's",1,1,174291
"amounted",1,1,174291
"dijon",1,1,174291
"obstetrician",1,1,174291
"hallucinations",1,1,174291
"devaluated",1,1,174291
"briberies",1,1,174291
"scholars",1,1,174291
"scanners",1,1,174291
"adrift",1,1,174291
"salting",1,1,174291
"deliberated",1,1,174291
"salami",1,1,174291
"sheriff's",1,1,174291
"caladiums",1,1,174291
"transplanting",1,1,174291
"caliber",1,1,174291
"lawmaking",1,1,174291
"gook",1,1,174291
"goon",1,1,174291
"permissible",1,1,174291
"goop",1,1,174291
"terrifying",1,1,174291
"chills",1,1,174291
"flashing",1,1,174291
"clo",1,1,174291
"faiths",1,1,174291
"snagging",1,1,174291
"fault's",1,1,174291
"skimmed",1,1,174291
"computerization",1,1,174291
"phobia",1,1,174291
"littering",1,1,174291
"atlanta's",1,1,174291
"pellet",1,1,174291
"feldon",1,1,174291
"arrowheads",1,1,174291
"stagger",1,1,174291
"footsteps",1,1,174291
"puget",1,1,174291
"buckles",1,1,174291
"gots",1,1,174291
"mongolia",1,1,174291
"fraternity",1,1,174291
"rote",1,1,174291
"beholder",1,1,174291
"godfather's",1,1,174291
"caboodle",1,1,174291
"hastings",1,1,174291
"romping",1,1,174291
"interchangeably",1,1,174291
"tenderloin",1,1,174291
"cantankerous",1,1,174291
"col",1,1,174291
"piglets",1,1,174291
"criticizing",1,1,174291
"findings",1,1,174291
"quack",1,1,174291
"cov",1,1,174291
"pacify",1,1,174291
"automation",1,1,174291
"sneaky",1,1,174291
"sneaks",1,1,174291
"empaneled",1,1,174291
"initials",1,1,174291
"rout",1,1,174291
"repossession",1,1,174291
"dragginess",1,1,174291
"mapped",1,1,174291
"rarity",1,1,174291
"mailman",1,1,174291
"childbirth",1,1,174291
"renowned",1,1,174291
"mishandle",1,1,174291
"footed",1,1,174291
"cra",1,1,174291
"flus",1,1,174291
"timey",1,1,174291
"flux",1,1,174291
"chlorination",1,1,174291
"cro",1,1,174291
"conclusively",1,1,174291
"dreading",1,1,174291
"doggie",1,1,174291
"harness",1,1,174291
"preconstructed",1,1,174291
"chlorinating",1,1,174291
"playgrounds",1,1,174291
"productions",1,1,174291
"debtor's",1,1,174291
"hypercritical",1,1,174291
"overacted",1,1,174291
"pity",1,1,174291
"newmarket",1,1,174291
"defines",1,1,174291
"hemorrhaging",1,1,174291
"rectify",1,1,174291
"mccoy",1,1,174291
"palsy",1,1,174291
"accuses",1,1,174291
"geneo",1,1,174291
"genes",1,1,174291
"tracers",1,1,174291
"synagogue",1,1,174291
"ivan",1,1,174291
"swells",1,1,174291
"undercover",1,1,174291
"piss",1,1,174291
"cub",1,1,174291
"effluent",1,1,174291
"yuppish",1,1,174291
"europeans",1,1,174291
"infringe",1,1,174291
"cul",1,1,174291
"wind's",1,1,174291
"cur",1,1,174291
"chemists",1,1,174291
"shoul",1,1,174291
"distribute",1,1,174291
"creation",1,1,174291
"ingredient",1,1,174291
"socio",1,1,174291
"cadets",1,1,174291
"superdad",1,1,174291
"marvin",1,1,174291
"salvageable",1,1,174291
"reassess",1,1,174291
"caucasian",1,1,174291
"assump",1,1,174291
"opposites",1,1,174291
"payloads",1,1,174291
"warrantee",1,1,174291
"intercede",1,1,174291
"jacked",1,1,174291
"spitfire",1,1,174291
"earliest",1,1,174291
"wrung",1,1,174291
"marvel",1,1,174291
"hutton",1,1,174291
"nationalistic",1,1,174291
"funnel",1,1,174291
"semantics",1,1,174291
"jehovah's",1,1,174291
"funner",1,1,174291
"candies",1,1,174291
"psychos",1,1,174291
"entex",1,1,174291
"gallery",1,1,174291
"flowery",1,1,174291
"houseful",1,1,174291
"suckling",1,1,174291
"czars",1,1,174291
"hostage",1,1,174291
"newsworthy",1,1,174291
"echelons",1,1,174291
"fetal",1,1,174291
"bilingualism",1,1,174291
"easement",1,1,174291
"members'",1,1,174291
"toppling",1,1,174291
"nonengineers",1,1,174291
"persuasions",1,1,174291
"cutie",1,1,174291
"fetch",1,1,174291
"lead's",1,1,174291
"oasis",1,1,174291
"dab",1,1,174291
"dal",1,1,174291
"outlined",1,1,174291
"who'll",1,1,174291
"pointing",1,1,174291
"grandpa's",1,1,174291
"iacocca's",1,1,174291
"statesman",1,1,174291
"retype",1,1,174291
"artwork",1,1,174291
"haas's",1,1,174291
"whiskers",1,1,174291
"oiling",1,1,174291
"tilts",1,1,174291
"deceptive",1,1,174291
"cuter",1,1,174291
"burpee",1,1,174291
"inducement",1,1,174291
"guarded",1,1,174291
"lapdogs",1,1,174291
"declining",1,1,174291
"saskatchewan",1,1,174291
"psychic",1,1,174291
"introduction",1,1,174291
"spiteful",1,1,174291
"thirt",1,1,174291
"pilot's",1,1,174291
"nutrisweet",1,1,174291
"exonerated",1,1,174291
"deb",1,1,174291
"dec",1,1,174291
"dee",1,1,174291
"del",1,1,174291
"parliament",1,1,174291
"weinstocks",1,1,174291
"client's",1,1,174291
"strep",1,1,174291
"jiffy",1,1,174291
"adjusters",1,1,174291
"paled",1,1,174291
"geraldo",1,1,174291
"whipped",1,1,174291
"motorboaters",1,1,174291
"braunsfel",1,1,174291
"touted",1,1,174291
"technologist",1,1,174291
"housebroken",1,1,174291
"vineyard",1,1,174291
"override",1,1,174291
"prisonment",1,1,174291
"noontime",1,1,174291
"bickering",1,1,174291
"afghanistan",1,1,174291
"battling",1,1,174291
"cecil",1,1,174291
"incriminating",1,1,174291
"upping",1,1,174291
"dis",1,1,174291
"technologists",1,1,174291
"peewee",1,1,174291
"leathery",1,1,174291
"businessman",1,1,174291
"inconceivable",1,1,174291
"laces",1,1,174291
"remained",1,1,174291
"publicly",1,1,174291
"narrowing",1,1,174291
"whomever",1,1,174291
"proportionate",1,1,174291
"anita",1,1,174291
"outfitted",1,1,174291
"pumped",1,1,174291
"unorganized",1,1,174291
"kline",1,1,174291
"looper",1,1,174291
"outfitter",1,1,174291
"cooper's",1,1,174291
"engagements",1,1,174291
"waterskiing",1,1,174291
"crazed",1,1,174291
"babe",1,1,174291
"raccoon",1,1,174291
"peruvians",1,1,174291
"armies",1,1,174291
"sachse",1,1,174291
"couple's",1,1,174291
"construct",1,1,174291
"rivalry",1,1,174291
"weakening",1,1,174291
"dearly",1,1,174291
"kindness",1,1,174291
"exceeded",1,1,174291
"researchers",1,1,174291
"statue",1,1,174291
"ailments",1,1,174291
"'s",1,1,174291
"physicist",1,1,174291
"schwartz",1,1,174291
"contents",1,1,174291
"contaminants",1,1,174291
"spawned",1,1,174291
"dom",1,1,174291
"curve",1,1,174291
"pours",1,1,174291
"baldwin",1,1,174291
"noncriminal",1,1,174291
"crimp",1,1,174291
"brewery",1,1,174291
"coalition",1,1,174291
"characterized",1,1,174291
"peaked",1,1,174291
"lacks",1,1,174291
"cabbages",1,1,174291
"bernards",1,1,174291
"warlike",1,1,174291
"blazers",1,1,174291
"discreet",1,1,174291
"stinging",1,1,174291
"networking",1,1,174291
"tithing",1,1,174291
"evict",1,1,174291
"dra",1,1,174291
"bulletproof",1,1,174291
"brook",1,1,174291
"tribune",1,1,174291
"cyanide",1,1,174291
"crier",1,1,174291
